City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,Gubkinskiy,64.434,76.5026,16.9,91,67,6.46,RU,2022-05-08 00:37:33
126,Sitka,57.0531,-135.33,51.69,58,100,16.11,US,2022-05-08 00:37:34
127,Kenora,49.8167,-94.4337,68.97,34,75,13.8,CA,2022-05-08 00:36:35
128,Vila Franca Do Campo,37.7167,-25.4333,67.19,93,61,0.18,PT,2022-05-08 00:34:07
129,Rawah,34.4816,41.9093,62.02,41,8,3.38,IQ,2022-05-08 00:37:35
130,Yellowknife,62.456,-114.3525,36.12,100,100,21.85,CA,2022-05-08 00:37:35
131,Serra Branca,-6.5333,-38.2667,77.41,67,99,4.52,BR,2022-05-08 00:37:36
132,Hilo,19.7297,-155.09,86.29,82,100,10.36,US,2022-05-08 00:37:36
133,Russell,32.3502,-85.1999,72.55,61,20,8.05,US,2022-05-08 00:37:37
134,Bengkulu,-3.8004,102.2655,78.85,76,100,3.58,ID,2022-05-08 00:38:37
135,Isangel,-19.55,169.2667,82.51,54,40,9.22,VU,2022-05-08 00:38:38
136,Port Hardy,50.6996,-127.4199,48.2,76,75,6.91,CA,2022-05-08 00:38:38
137,Tiksi,71.6872,128.8694,16.36,82,21,5.64,RU,2022-05-08 00:38:39
138,Lazo,43.3817,133.9014,49.59,43,36,14.56,RU,2022-05-08 00:38:39
139,Galveston,29.3669,-94.9669,83.17,85,100,12.66,US,2022-05-08 00:38:40
140,Whitehorse,60.7161,-135.0538,45.1,75,40,1.01,CA,2022-05-08 00:38:40
141,Gabu,12.2833,-14.2167,77.27,64,46,9.08,GW,2022-05-08 00:38:41
142,Lavrentiya,65.5833,-171.0,32.63,90,100,5.39,RU,2022-05-08 00:38:41
143,Jumla,29.2747,82.1838,56.26,77,30,1.79,NP,2022-05-08 00:38:42
144,Monster,52.0258,4.175,53.98,82,20,10.36,NL,2022-05-08 00:38:42
145,Port Hedland,-20.3167,118.5667,78.85,29,77,18.41,AU,2022-05-08 00:38:43
146,Kavieng,-2.5744,150.7967,85.46,66,13,18.39,PG,2022-05-08 00:38:43
147,Cumaru,-8.0061,-35.6972,69.1,93,35,4.29,BR,2022-05-08 00:38:44
148,Sunland Park,31.7965,-106.58,94.44,12,0,26.46,US,2022-05-08 00:38:44
149,Warmbad,-28.45,18.7333,47.55,72,0,6.38,NA,2022-05-08 00:38:45
150,Avarua,-21.2078,-159.775,86.05,79,75,8.05,CK,2022-05-08 00:38:45
151,Boguchany,58.3814,97.4531,32.4,62,100,16.84,RU,2022-05-08 00:38:46
152,Deputatskiy,69.3,139.9,15.62,70,98,2.48,RU,2022-05-08 00:38:46
153,Prince Rupert,54.3161,-130.3201,48.29,69,0,14.97,CA,2022-05-08 00:37:52
154,Poum,-20.2333,164.0167,78.44,62,85,24.47,NC,2022-05-08 00:38:47
155,Namibe,-15.1961,12.1522,70.97,74,0,3.06,AO,2022-05-08 00:38:47
156,Katsuura,35.1333,140.3,60.24,77,100,17.45,JP,2022-05-08 00:38:48
157,Hithadhoo,-0.6,73.0833,83.77,77,20,15.66,MV,2022-05-08 00:38:48
158,Kariba,-16.5167,28.8,68.97,63,90,3.78,ZW,2022-05-08 00:38:49
159,Camacari,-12.6975,-38.3242,82.17,90,0,4.88,BR,2022-05-08 00:38:49
