City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Mathathane,BW,-22.2687,28.7495,69.84,56,0,8.86,clear sky
113,Margate,GB,51.3813,1.3862,62.69,61,100,3.0,overcast clouds
114,Ipixuna,BR,-1.7625,-48.8043,79.63,90,57,2.95,broken clouds
115,Portland,US,45.5234,-122.6762,54.52,73,75,7.0,broken clouds
116,Pandan,PH,14.0453,124.1694,78.94,83,27,8.81,scattered clouds
117,Coihaique,CL,-45.5752,-72.0662,51.75,54,40,9.22,scattered clouds
118,Saldanha,ZA,-33.0117,17.9442,53.65,81,99,7.02,overcast clouds
119,Khasan,RU,42.4308,130.6434,47.64,56,0,2.06,clear sky
120,Andra,RU,62.5147,65.8878,49.15,62,92,4.54,overcast clouds
121,Acapulco,MX,16.8634,-99.8901,87.03,58,28,10.16,scattered clouds
122,Batagay-Alyta,RU,67.8006,130.4114,9.77,94,100,4.47,overcast clouds
123,Birin,NP,26.8865,88.0718,59.95,95,100,4.07,overcast clouds
124,Mar Del Plata,AR,-38.0023,-57.5575,59.02,80,40,12.66,scattered clouds
125,Kalemie,CD,-5.9475,29.1947,72.14,80,67,1.43,broken clouds
126,Forio,IT,40.7342,13.8646,64.42,81,87,10.0,overcast clouds
127,Hobart,AU,-42.8794,147.3294,44.46,90,28,8.05,scattered clouds
128,Alta Floresta,BR,-9.8756,-56.0861,89.42,58,40,5.75,scattered clouds
129,Asfi,MA,32.2994,-9.2372,69.53,69,6,13.76,clear sky
130,Puerto Ayora,EC,-0.7393,-90.3518,78.76,74,99,8.28,overcast clouds
131,Hobyo,SO,5.3505,48.5268,83.82,79,93,23.35,overcast clouds
132,Taoudenni,ML,22.6783,-3.9836,93.67,8,0,11.07,clear sky
133,Vardo,NO,70.3705,31.1107,37.38,75,0,10.36,clear sky
134,Karratha,AU,-20.7377,116.8463,74.95,54,85,9.06,overcast clouds
135,Maridi,SS,4.9158,29.4742,65.91,93,100,3.53,overcast clouds
136,Saint-Augustin,CA,51.226,-58.6502,51.93,50,45,6.62,scattered clouds
137,Georgetown,MY,5.4112,100.3354,85.95,93,20,5.01,few clouds
138,Kruisfontein,ZA,-34.0033,24.7314,54.88,73,17,5.14,few clouds
139,Banda Aceh,ID,5.5577,95.3222,81.46,81,99,8.61,overcast clouds
140,Jinchang,CN,38.4953,102.1739,64.44,31,100,9.69,overcast clouds
141,Hilo,US,19.7297,-155.09,84.27,81,42,1.99,scattered clouds
142,Mnogovershinnyy,RU,53.9353,139.9242,29.73,97,100,2.17,overcast clouds
143,Smithers,CA,54.7804,-127.1743,46.72,61,75,2.3,broken clouds
144,Ocos,GT,14.5094,-92.1933,86.63,68,100,9.98,overcast clouds
145,Tombouctou,ML,20.0,-3.0,88.09,4,0,10.02,clear sky
146,East London,ZA,-33.0153,27.9116,59.94,94,0,3.44,clear sky
147,Talnakh,RU,69.4865,88.3972,36.21,97,100,12.01,light rain
148,Omboue,GA,-1.5746,9.2618,79.63,89,98,7.99,overcast clouds
149,Hardenberg,NL,52.5758,6.6194,66.33,72,100,4.0,overcast clouds
150,Wajid,SO,3.8093,43.2471,79.72,72,100,11.43,overcast clouds
151,Gombong,ID,-7.6072,109.5142,79.03,90,96,1.23,light rain
152,Half Moon Bay,US,37.4636,-122.4286,61.9,52,0,16.11,haze
153,Paamiut,GL,61.994,-49.6678,32.74,83,10,14.23,clear sky
154,Valpacos,PT,41.6075,-7.3109,73.92,47,88,4.97,overcast clouds
155,Port Hedland,AU,-20.3167,118.5667,69.85,28,16,6.91,few clouds
156,Souillac,MU,-20.5167,57.5167,73.78,94,75,2.3,broken clouds
157,La Rioja,ES,42.25,-2.5,67.78,59,20,0.2,few clouds
158,Fukue,JP,32.6881,128.8419,64.67,76,100,9.57,overcast clouds
159,Khani,GE,41.9563,42.9566,44.17,96,90,1.81,overcast clouds
160,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,33,0,17.27,clear sky
161,Gandai,IN,21.6667,81.1,88.45,23,6,5.19,clear sky
162,Hisor,TJ,38.525,68.5512,71.35,64,96,4.23,overcast clouds
163,Progreso,MX,21.2833,-89.6667,90.16,53,0,15.23,clear sky
164,Bengkulu,ID,-3.8004,102.2655,77.9,84,87,2.93,light rain
165,Dikson,RU,73.5069,80.5464,7.07,97,5,6.55,clear sky
166,Mahebourg,MU,-20.4081,57.7,74.25,94,75,2.3,broken clouds
167,Huron,US,41.1501,-82.5499,72.66,39,7,13.8,clear sky
168,Dibrugarh,IN,27.4833,94.9,74.71,88,3,0.27,clear sky
169,Anqing,CN,30.5092,117.0506,61.29,77,100,6.91,overcast clouds
170,Myitkyina,MM,25.3833,97.4,72.75,98,100,1.52,overcast clouds
171,Olafsvik,IS,64.8945,-23.7142,42.28,81,22,15.01,few clouds
172,Bathsheba,BB,13.2167,-59.5167,86.61,66,20,13.8,few clouds
173,San Patricio,US,28.017,-97.5169,90.32,53,0,21.63,clear sky
174,Port Hardy,CA,50.6996,-127.4199,48.2,87,75,4.61,light intensity shower rain
175,Sisimiut,GL,66.9395,-53.6735,30.24,94,100,30.53,light snow
176,Manono,CD,-7.3,27.4167,73.44,67,65,5.26,broken clouds
177,San Cristobal,VE,7.7669,-72.225,82.58,69,99,6.08,overcast clouds
178,Camacha,PT,33.0833,-16.3333,65.62,73,20,14.97,few clouds
179,Gayny,RU,60.3071,54.3241,48.88,61,6,4.83,clear sky
180,Nauchnyy Gorodok,RU,53.4203,83.521,45.46,28,0,8.99,clear sky
181,Majene,ID,-3.5403,118.9707,77.59,89,100,5.12,overcast clouds
182,Coruripe,BR,-10.1256,-36.1756,80.38,72,100,8.55,overcast clouds
183,Djibo,BF,14.1022,-1.6306,96.24,7,4,9.51,clear sky
184,Saskylakh,RU,71.9167,114.0833,17.15,96,100,6.24,light snow
185,Caruray,PH,10.3094,119.0128,79.74,74,100,5.93,overcast clouds
186,Arlit,NE,18.7369,7.3853,96.39,16,96,9.4,overcast clouds
187,Ancud,CL,-41.8697,-73.8203,51.89,66,96,2.82,overcast clouds
188,Bambous Virieux,MU,-20.3428,57.7575,74.21,94,75,2.3,light rain
189,Brigantine,US,39.4101,-74.3646,67.19,22,13,26.93,few clouds
190,Mahajanga,MG,-15.7167,46.3167,80.62,83,20,9.22,few clouds
191,Parker,US,32.7668,-97.8003,94.86,54,0,4.0,clear sky
192,Svetlaya,RU,46.5389,138.3297,45.57,73,5,6.33,clear sky
193,Alghero,IT,40.5589,8.3181,66.29,63,0,8.05,clear sky
194,Tarko-Sale,RU,64.9225,77.785,34.97,100,100,9.86,overcast clouds
195,Vorukh,TJ,39.8494,70.5838,68.05,48,91,7.18,overcast clouds
196,Challans,FR,46.8436,-1.8749,73.6,78,98,5.1,overcast clouds
197,San Luis,AR,-33.295,-66.3356,71.28,43,100,2.44,overcast clouds
198,Kayerkan,RU,69.3497,87.7602,35.53,80,100,19.19,light rain
199,Saint George,US,37.1041,-113.5841,67.62,12,0,12.66,clear sky
200,Lalmohan,BD,22.3384,90.7419,80.94,84,100,15.5,overcast clouds
201,Kota,IN,25.1833,75.8333,97.43,13,75,3.42,broken clouds
202,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,73,0,12.66,clear sky
203,Korla,CN,41.7597,86.1469,74.62,31,3,2.37,clear sky
204,Saint-Philippe,RE,-21.3585,55.7679,72.99,84,14,5.26,few clouds
205,Thinadhoo,MV,0.5333,72.9333,84.67,78,20,20.4,few clouds
206,Morgan City,US,29.6994,-91.2068,90.0,46,0,10.67,clear sky
207,Zhuhai,CN,22.2769,113.5678,77.86,88,40,9.22,moderate rain
208,Zhangjiakou,CN,40.81,114.8794,48.47,61,3,5.75,clear sky
209,Luderitz,NA,-26.6481,15.1594,62.08,55,9,8.88,clear sky
210,Black River,JM,18.0264,-77.8487,86.13,57,85,15.41,overcast clouds
211,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,89.04,37,84,5.1,broken clouds
212,Hun,LY,29.1268,15.9477,76.96,23,0,9.19,clear sky
213,Hamilton,US,39.1834,-84.5333,77.74,49,11,5.01,few clouds
214,Sao Filipe,CV,14.8961,-24.4956,73.53,78,17,8.86,few clouds
215,Bonthe,SL,7.5264,-12.505,80.91,79,41,10.27,scattered clouds
216,Benguela,AO,-12.5763,13.4055,76.55,81,0,2.62,clear sky
217,Oranjemund,NA,-28.55,16.4333,56.68,83,48,8.52,scattered clouds
218,Oriximina,BR,-1.7656,-55.8661,78.46,83,100,1.92,overcast clouds
219,Machilipatnam,IN,16.1667,81.1333,84.9,68,100,16.69,light rain
220,Port Hawkesbury,CA,45.6169,-61.3485,55.62,55,100,5.84,overcast clouds
221,Renfrew,GB,55.872,-4.3925,55.44,87,100,17.27,overcast clouds
222,Naze,JP,28.3667,129.4833,69.71,89,96,3.53,overcast clouds
223,Kasongo-Lunda,CD,-6.4667,16.8167,74.39,75,16,1.52,few clouds
224,Batu,ID,-7.87,112.5283,67.82,95,77,0.49,light rain
225,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,87.4,40,100,6.38,overcast clouds
226,Vondrozo,MG,-22.8167,47.2833,64.54,98,7,3.83,light rain
227,Klaksvik,FO,62.2266,-6.589,49.12,95,100,11.88,overcast clouds
228,Luunja,EE,58.3558,26.8808,43.14,56,67,8.05,broken clouds
229,Prainha,BR,-1.8,-53.48,80.85,88,98,2.62,overcast clouds
230,Rizhao,CN,35.4275,119.4553,53.28,86,100,4.27,overcast clouds
231,Xining,CN,36.6167,101.7667,52.93,57,100,3.33,overcast clouds
232,Honningsvag,NO,70.9821,25.9704,35.35,80,69,4.61,broken clouds
233,Kushima,JP,31.4583,131.2333,66.09,93,100,9.73,overcast clouds
234,Broome,US,42.2506,-75.833,72.68,17,0,12.66,clear sky
235,Padang,ID,-0.9492,100.3543,79.65,85,100,3.62,overcast clouds
236,Qaanaaq,GL,77.484,-69.3632,22.48,76,91,1.03,overcast clouds
237,Fuente De Oro,CO,3.4594,-73.6128,85.32,67,57,2.3,broken clouds
238,Mount Gambier,AU,-37.8333,140.7667,43.68,81,10,4.27,clear sky
239,Mopti,ML,14.6667,-4.0,98.4,6,42,11.99,scattered clouds
240,Graham,US,47.0529,-122.2943,54.34,65,75,9.22,broken clouds
241,Aksu,CN,41.1231,80.2644,76.51,24,5,3.83,clear sky
242,Calvinia,ZA,-31.4707,19.776,56.34,37,34,1.74,scattered clouds
243,Oistins,BB,13.0667,-59.5333,86.09,62,20,14.97,few clouds
244,Upington,ZA,-28.4478,21.2561,61.81,32,3,2.04,clear sky
245,Caravelas,BR,-17.7125,-39.2481,73.74,83,18,11.95,few clouds
246,Nadym,RU,65.5333,72.5167,35.58,100,100,9.48,overcast clouds
247,Nioro,GM,13.35,-15.75,90.28,33,100,16.06,overcast clouds
248,Tezu,IN,27.9167,96.1667,71.76,82,4,4.65,clear sky
249,Adrar,MR,20.5022,-10.0711,95.67,8,10,7.99,clear sky
250,Shabo,UA,46.1326,30.386,57.85,65,100,3.29,overcast clouds
251,Inongo,CD,-1.95,18.2667,74.07,87,86,1.21,overcast clouds
