City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
359,Palang,BD,76.89,few clouds,23.2167,90.35,হোটেল আল সামাদ আবাসিক
363,Bubaque,GW,77.74,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
364,Botwood,CA,67.89,clear sky,49.1499,-55.3482,Exploits Inn & Suites
365,Scarborough,GB,60.37,clear sky,54.2797,-0.4044,The Grand Hotel Scarborough
366,Gondanglegi,ID,76.1,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
369,Lompoc,US,70.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
370,Itarema,BR,77.52,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
371,Marawi,PH,69.31,overcast clouds,7.9986,124.2928,Derogongan Residence
372,Cascais,PT,76.35,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
380,Ballina,AU,65.79,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
383,Kiunga,PG,74.5,light rain,-6.1219,141.2906,Airport Lodge Kiunga
396,Champagnole,FR,65.77,overcast clouds,46.7445,5.9135,le Bois Gourmand
400,Faya,SA,69.91,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
401,Hwange,ZW,68.49,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
403,Jardim,BR,73.92,light rain,-21.4803,-56.1381,Estancia Hotel - Jardim MS
404,Sao Joao Da Barra,BR,75.29,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
411,Tocopilla,CL,68.86,few clouds,-22.092,-70.1979,Hotel Galvarino
413,Huarmey,PE,70.34,clear sky,-10.0681,-78.1522,Hotel Miramar
415,Atambua,ID,70.77,broken clouds,-9.1061,124.8925,Kost Alfa Flat
423,Barabai,ID,75.07,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
427,Dryden,CA,62.89,broken clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
428,Port Keats,AU,75.25,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
431,Juegang,CN,65.98,overcast clouds,32.3174,121.1855,Rudong Y Hotel
434,Kon Tum,VN,70.63,overcast clouds,14.35,108.0,Hoa đà spa- homestay
437,Romitan,UZ,64.35,clear sky,39.9343,64.3814,Hotel Temur
440,Ambilobe,MG,73.45,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
441,Nemours,FR,72.3,broken clouds,48.2751,2.6908,ibis Nemours
445,Logrono,ES,76.5,clear sky,42.4667,-2.45,Hotel Gran Vía Logroño
447,Pallisa,UG,66.61,light rain,1.145,33.7094,YNM Hotel
453,Seoul,KR,60.37,clear sky,37.5683,126.9778,롯데호텔 서울
454,Baghdad,IQ,75.11,clear sky,33.3406,44.4009,Baghdad Hotel
455,Panzhihua,CN,74.05,overcast clouds,26.5851,101.7128,Electric Power Hotel
456,Sacama,EC,66.22,light rain,-3.9,-79.2667,Pachito Cuenca
459,Shkoder,AL,69.98,broken clouds,42.0683,19.5126,Hotel Tradita
461,Pasighat,IN,71.76,broken clouds,28.0667,95.3333,Siang Guest House
463,Nago,JP,76.05,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
465,Flinders,AU,60.39,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
466,Ende,ID,76.05,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
471,Kefamenanu,ID,67.21,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
476,Lalin,ES,64.45,few clouds,42.7167,-8.1167,A Palleira De ROQUE
483,Santa Cruz,BO,77.05,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
484,San Ramon,US,62.11,few clouds,37.7799,-121.978,San Ramon Marriott
489,Marsh Harbour,BS,74.95,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
490,El Prat De Llobregat,ES,73.09,few clouds,41.3278,2.0947,Hotel Porta Fira
491,Karratha,AU,72.72,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
494,Bani Walid,LY,64.89,overcast clouds,31.7566,13.9942,منزل مفتاح محمد الزلبي
495,Bulawayo,ZW,61.5,clear sky,-20.15,28.5833,4 On Housman Backpackers
496,Taiping,MY,77.09,overcast clouds,4.85,100.7333,Flemington Hotel
498,Ebolowa,CM,70.9,overcast clouds,2.9,11.15,Florence Hotel Ebolowa
505,Mae Sai,TH,73.45,light rain,20.4335,99.8762,Piyaporn Hill Paradise Hotel
507,Kaoma,ZM,63.93,clear sky,-14.7833,24.8,KAOMA AIRPORT
508,Rio Grande,BR,64.51,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
510,Half Moon Bay,US,62.87,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
511,Grand Forks,US,69.73,clear sky,47.9417,-97.4337,Warrior Inn
512,Trimbach,CH,67.64,overcast clouds,47.3656,7.8868,Hotel Olten
513,San Rafael,AR,64.33,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
518,Puerto Colombia,CO,75.29,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
524,Nishihara,JP,76.28,broken clouds,26.1842,127.7558,Minshuku Agaihama
525,Hualmay,PE,69.3,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
532,Koboko,UG,68.65,overcast clouds,3.4136,30.9599,Hotel Diplomat
534,Namwala,ZM,65.26,clear sky,-15.7504,26.4384,Corner Point Lodge
536,Talara,PE,75.96,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
542,Carpentras,FR,67.8,overcast clouds,44.0833,5.1667,"Château de Mazan, Best Western Premier Collection"
544,Prieska,ZA,64.18,overcast clouds,-29.6641,22.7474,Avenue GuestHouse
546,Praia Da Vitoria,PT,69.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
548,Salinopolis,BR,76.68,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
549,Pleasanton,US,62.64,few clouds,37.6624,-121.8747,Four Points by Sheraton Pleasanton
550,Joao Camara,BR,76.78,overcast clouds,-5.5375,-35.8197,Pousada Miguel Teixeira
552,Kaliua,TZ,74.93,overcast clouds,-5.0606,31.7936,Millennium Complex
553,Silleda,ES,64.74,few clouds,42.696,-8.2465,Hotel Ramos
554,La Troncal,EC,77.05,light rain,-2.4,-79.3333,TRONCAL INN
557,Mangan,IN,71.53,broken clouds,27.5167,88.5333,Hotel Mout View
559,Mizdah,LY,62.71,light rain,31.4451,12.9801,محمدالمبروك الاريقط
560,Mbuguni,TZ,72.1,overcast clouds,-3.5667,36.95,kaza Moyo Modern Resort
563,Kabinda,CD,71.56,clear sky,-6.1333,24.4833,Village Mianda Mutole
565,Westport,US,75.31,clear sky,41.1415,-73.3579,The Westport Inn
566,Sonari,IN,72.63,overcast clouds,27.0667,95.0333,Hotel Green View
569,San Quintin,MX,65.26,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
570,Buluang,PH,76.17,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
571,Muros,ES,69.1,few clouds,42.7762,-9.0603,Apartment Av. Castelao
576,Pathein,MM,77.92,overcast clouds,16.7833,94.7333,Pathein Hotel
577,Barcelos,PT,73.92,broken clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
579,Vangaindrano,MG,68.31,clear sky,-23.35,47.6,Hotel Fanilo
582,Melo,UY,61.18,overcast clouds,-32.3667,-54.1833,Hotel Juana
585,Sorrento,IT,66.25,broken clouds,40.626,14.3744,Hilton Sorrento Palace
587,Horta,PT,67.64,scattered clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
590,Manakara,MG,69.37,clear sky,-22.1333,48.0167,La Residence Manakara
591,Waterloo,CA,75.07,clear sky,43.4668,-80.5164,The Walper Hotel
596,Hami,CN,64.9,broken clouds,42.8,93.45,Laoyutang Resort
602,Elizabeth City,US,62.62,overcast clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
605,Changji,CN,68.79,clear sky,44.0167,87.3167,Lvye Holiday Resort
606,Hillsborough,US,62.82,few clouds,37.5741,-122.3794,Hyatt Regency San Francisco Airport
608,Trimbak,IN,72.48,overcast clouds,19.9333,73.55,OYO 4192 Sai Krupa Hotel
611,Brewster,US,74.55,clear sky,41.3973,-73.6171,Heidi's Inn
615,Pacifica,US,62.71,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
622,Lagoa,PT,61.18,broken clouds,39.05,-27.9833,Casa Das Faias
624,Iquique,CL,66.24,few clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
625,Primero De Marzo,PY,71.01,overcast clouds,-25.153,-56.928,"RANCHO ""El Paraíso"""
628,Sampit,ID,76.6,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
629,Darab,IR,72.73,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
631,Forestville,US,74.64,clear sky,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
632,Tondano,ID,68.09,overcast clouds,1.3038,124.9112,Villa Bella
